"hasfix","satellitesused","date","time","lat","lon","altitude","course","speedkmhr","humidity","temperature","bat"
true,10,"190823","234902","3444.0606N","9217.0998W",104.90,0.00,0.24,42.47,34.92,3.79
true,11,"190823","234904","3444.0623N","9217.0980W",106.10,0.00,0.28,42.46,34.93,3.84
true,13,"190823","234905","3444.0634N","9217.0969W",106.70,0.00,0.50,42.44,34.93,3.83
true,13,"190823","234906","3444.0631N","9217.0975W",107.10,0.00,0.26,42.47,34.94,3.81
true,13,"190823","234907","3444.0637N","9217.0973W",107.40,0.00,0.17,42.44,34.93,3.81
true,13,"190823","234908","3444.0637N","9217.0976W",107.60,0.00,0.07,42.47,34.94,3.82
true,13,"190823","234909","3444.0640N","9217.0976W",107.80,0.00,0.04,42.45,34.94,3.82
true,13,"190823","234910","3444.0641N","9217.0980W",107.90,0.00,0.09,42.53,34.94,3.82
true,13,"190823","234911","3444.0641N","9217.0982W",108.00,0.00,0.28,42.41,34.94,3.82
true,13,"190823","234912","3444.0642N","9217.0984W",108.10,0.00,0.17,42.46,34.94,3.82
true,13,"190823","234913","3444.0643N","9217.0987W",108.20,0.00,0.15,42.56,34.94,3.82
true,13,"190823","234914","3444.0645N","9217.0988W",108.30,0.00,0.30,42.62,34.94,3.82
true,13,"190823","234915","3444.0645N","9217.0991W",108.40,0.00,0.13,42.51,34.94,3.82
true,13,"190823","234916","3444.0647N","9217.0993W",108.50,0.00,0.31,42.51,34.94,3.82
true,13,"190823","234917","3444.0648N","9217.0996W",108.50,0.00,0.39,42.52,34.94,3.82
true,13,"190823","234918","3444.0648N","9217.0997W",108.60,0.00,0.15,42.59,34.94,3.82
true,13,"190823","234919","3444.0650N","9217.0999W",108.60,0.00,0.07,42.46,34.93,3.82
true,13,"190823","234920","3444.0651N","9217.1000W",108.70,0.00,0.02,42.54,34.93,3.81
true,13,"190823","234921","3444.0652N","9217.1001W",108.70,0.00,0.07,42.45,34.93,3.82
true,13,"190823","234922","3444.0653N","9217.1002W",108.80,0.00,0.15,42.42,34.93,3.82
true,14,"190823","234923","3444.0653N","9217.1002W",108.80,0.00,0.26,42.41,34.94,3.82
true,14,"190823","234924","3444.0652N","9217.1002W",108.90,0.00,0.39,42.60,34.95,3.82
true,14,"190823","234925","3444.0653N","9217.1003W",108.90,0.00,0.24,42.52,34.95,3.82
true,14,"190823","234926","3444.0653N","9217.1004W",108.90,0.00,0.06,42.48,34.95,3.82
true,14,"190823","234927","3444.0653N","9217.1004W",108.90,0.00,0.19,42.46,34.95,3.82
true,14,"190823","234928","3444.0652N","9217.1004W",109.00,0.00,0.30,42.52,34.96,3.82
true,14,"190823","234929","3444.0654N","9217.1005W",109.00,0.00,0.04,42.59,34.96,3.82
true,14,"190823","234930","3444.0653N","9217.1005W",109.00,0.00,0.02,42.45,34.96,3.82
true,14,"190823","234931","3444.0653N","9217.1005W",109.10,0.00,0.02,42.54,34.97,3.82
true,14,"190823","234932","3444.0654N","9217.1006W",109.10,0.00,0.24,42.39,34.97,3.82
true,14,"190823","234933","3444.0655N","9217.1008W",109.10,0.00,0.15,42.45,34.98,3.82
true,14,"190823","234934","3444.0656N","9217.1010W",109.10,0.00,0.13,42.52,34.98,3.82
true,14,"190823","234935","3444.0657N","9217.1012W",109.10,0.00,0.07,42.41,34.98,3.81
true,14,"190823","234936","3444.0659N","9217.1013W",109.10,0.00,0.04,42.58,34.98,3.82
true,14,"190823","234937","3444.0660N","9217.1015W",109.10,0.00,0.24,42.46,34.98,3.82
true,14,"190823","234938","3444.0660N","9217.1017W",109.10,0.00,0.04,42.58,34.99,3.82
true,14,"190823","234939","3444.0661N","9217.1018W",109.10,0.00,0.07,42.41,34.99,3.81
true,15,"190823","234940","3444.0660N","9217.1019W",109.10,0.00,0.07,42.48,34.99,3.81
true,15,"190823","234941","3444.0660N","9217.1019W",109.10,0.00,0.26,42.44,34.99,3.81
true,15,"190823","234942","3444.0660N","9217.1020W",109.10,0.00,0.19,42.52,35.00,3.81
true,15,"190823","234943","3444.0660N","9217.1021W",109.20,0.00,0.17,42.38,34.99,3.82
true,15,"190823","234944","3444.0659N","9217.1022W",109.20,0.00,0.22,42.36,34.99,3.81
true,15,"190823","234945","3444.0659N","9217.1022W",109.20,0.00,0.11,42.29,34.99,3.81
